RecordID,Country,Demographics Question,Demographics Questions code,Demographics Response,Question,Question-cod,Survey Year,year,Value
351,Afghanistan,Education,5,Primary,... for at least one specific reason,2,01/01/2015,2015,68.1
351,Afghanistan,Education,5,Secondary,... for at least one specific reason,2,01/01/2015,2015,69.6
71,Afghanistan,Education,5,Higher,... if she argues with him,3,01/01/2015,2015,31.4
71,Afghanistan,Education,5,No education,... if she argues with him,3,01/01/2015,2015,50.2
71,Afghanistan,Education,5,Primary,... if she argues with him,3,01/01/2015,2015,41
71,Afghanistan,Education,5,Secondary,... if she argues with him,3,01/01/2015,2015,42.8
141,Afghanistan,Education,5,Higher,... if she goes out without telling him,5,01/01/2015,2015,43.6
141,Afghanistan,Education,5,No education,... if she goes out without telling him,5,01/01/2015,2015,66
141,Afghanistan,Education,5,Primary,... if she goes out without telling him,5,01/01/2015,2015,55.9
141,Afghanistan,Education,5,Secondary,... if she goes out without telling him,5,01/01/2015,2015,59.5
211,Afghanistan,Education,5,Higher,... if she neglects the children,4,01/01/2015,2015,20.9
211,Afghanistan,Education,5,No education,... if she neglects the children,4,01/01/2015,2015,29.7
211,Afghanistan,Education,5,Primary,... if she neglects the children,4,01/01/2015,2015,22.3
211,Afghanistan,Education,5,Secondary,... if she neglects the children,4,01/01/2015,2015,23
281,Afghanistan,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2015,2015,11.9
281,Afghanistan,Education,5,No education,... if she refuses to have sex with him,6,01/01/2015,2015,23.2
281,Afghanistan,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2015,2015,17.4
281,Afghanistan,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2015,2015,15.9
351,Afghanistan,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2015,2015,72.6
351,Afghanistan,Employment,3,Employed for kind,... for at least one specific reason,2,01/01/2015,2015,73.5
351,Afghanistan,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2015,2015,67.4
71,Afghanistan,Employment,3,Employed for cash,... if she argues with him,3,01/01/2015,2015,45.5
71,Afghanistan,Employment,3,Employed for kind,... if she argues with him,3,01/01/2015,2015,47.8
71,Afghanistan,Employment,3,Unemployed,... if she argues with him,3,01/01/2015,2015,41.1
141,Afghanistan,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2015,2015,60.9
141,Afghanistan,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2015,2015,65.7
141,Afghanistan,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2015,2015,54.8
211,Afghanistan,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2015,2015,25.6
211,Afghanistan,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2015,2015,30.6
211,Afghanistan,Employment,3,Unemployed,... if she neglects the children,4,01/01/2015,2015,31.8
281,Afghanistan,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2015,2015,18.9
281,Afghanistan,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2015,2015,27.8
281,Afghanistan,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2015,2015,17
351,Afghanistan,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2015,2015,72.6
351,Afghanistan,Marital status,1,Never married,... for at least one specific reason,2,01/01/2015,2015,
351,Afghanistan,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2015,2015,48.8
71,Afghanistan,Marital status,1,Married or living together,... if she argues with him,3,01/01/2015,2015,45.5
71,Afghanistan,Marital status,1,Never married,... if she argues with him,3,01/01/2015,2015,
71,Afghanistan,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2015,2015,35.1
141,Afghanistan,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2015,2015,61.3
141,Afghanistan,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2015,2015,
141,Afghanistan,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2015,2015,36.5
211,Afghanistan,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2015,2015,26.1
211,Afghanistan,Marital status,1,Never married,... if she neglects the children,4,01/01/2015,2015,
211,Afghanistan,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2015,2015,29.3
281,Afghanistan,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2015,2015,19.7
281,Afghanistan,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2015,2015,
281,Afghanistan,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2015,2015,5
351,Afghanistan,Residence,5,Rural,... for at least one specific reason,2,01/01/2015,2015,76.1
351,Afghanistan,Residence,5,Urban,... for at least one specific reason,2,01/01/2015,2015,59.9
71,Afghanistan,Residence,5,Rural,... if she argues with him,3,01/01/2015,2015,47
71,Afghanistan,Residence,5,Urban,... if she argues with him,3,01/01/2015,2015,40.4
141,Afghanistan,Residence,5,Rural,... if she goes out without telling him,5,01/01/2015,2015,65.6
141,Afghanistan,Residence,5,Urban,... if she goes out without telling him,5,01/01/2015,2015,46
211,Afghanistan,Residence,5,Rural,... if she neglects the children,4,01/01/2015,2015,28.1
211,Afghanistan,Residence,5,Urban,... if she neglects the children,4,01/01/2015,2015,19.6
281,Afghanistan,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2015,2015,21.9
281,Afghanistan,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2015,2015,12
2,Albania,Education,5,No education,... if she burns the food,1,01/01/2017,2017,0
2,Albania,Age,4,25-34,... if she burns the food,1,01/01/2017,2017,0.2
2,Albania,Education,5,Secondary,... if she burns the food,1,01/01/2017,2017,0.2
2,Albania,Employment,3,Employed for cash,... if she burns the food,1,01/01/2017,2017,0.3
2,Albania,Age,4,35-49,... if she burns the food,1,01/01/2017,2017,0.4
2,Albania,Marital status,1,Never married,... if she burns the food,1,01/01/2017,2017,0.4
2,Albania,Employment,3,Employed for kind,... if she burns the food,1,01/01/2017,2017,0.5
2,Albania,Residence,5,Rural,... if she burns the food,1,01/01/2017,2017,0.5
2,Albania,Residence,5,Urban,... if she burns the food,1,01/01/2017,2017,0.5
2,Albania,Marital status,1,Married or living together,... if she burns the food,1,01/01/2017,2017,0.6
2,Albania,Education,5,Higher,... if she burns the food,1,01/01/2017,2017,0.8
2,Albania,Education,5,Primary,... if she burns the food,1,01/01/2017,2017,0.8
2,Albania,Employment,3,Unemployed,... if she burns the food,1,01/01/2017,2017,0.8
2,Albania,Age,4,15-24,... if she burns the food,1,01/01/2017,2017,0.9
2,Albania,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2017,2017,1.6
352,Albania,Age,4,15-24,... for at least one specific reason,2,01/01/2017,2017,10.9
352,Albania,Age,4,25-34,... for at least one specific reason,2,01/01/2017,2017,11.3
352,Albania,Age,4,35-49,... for at least one specific reason,2,01/01/2017,2017,11.8
72,Albania,Age,4,15-24,... if she argues with him,3,01/01/2017,2017,4.4
72,Albania,Age,4,25-34,... if she argues with him,3,01/01/2017,2017,3.5
72,Albania,Age,4,35-49,... if she argues with him,3,01/01/2017,2017,4.2
142,Albania,Age,4,15-24,... if she goes out without telling him,5,01/01/2017,2017,5.3
142,Albania,Age,4,25-34,... if she goes out without telling him,5,01/01/2017,2017,6.1
142,Albania,Age,4,35-49,... if she goes out without telling him,5,01/01/2017,2017,7.8
212,Albania,Age,4,15-24,... if she neglects the children,4,01/01/2017,2017,7.1
212,Albania,Age,4,25-34,... if she neglects the children,4,01/01/2017,2017,8.6
212,Albania,Age,4,35-49,... if she neglects the children,4,01/01/2017,2017,8.3
282,Albania,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2017,2017,3
282,Albania,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2017,2017,2.5
282,Albania,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2017,2017,1.1
352,Albania,Education,5,Higher,... for at least one specific reason,2,01/01/2017,2017,5.4
352,Albania,Education,5,No education,... for at least one specific reason,2,01/01/2017,2017,26.6
352,Albania,Education,5,Primary,... for at least one specific reason,2,01/01/2017,2017,14.6
352,Albania,Education,5,Secondary,... for at least one specific reason,2,01/01/2017,2017,11.2
72,Albania,Education,5,Higher,... if she argues with him,3,01/01/2017,2017,2.2
72,Albania,Education,5,No education,... if she argues with him,3,01/01/2017,2017,15.3
72,Albania,Education,5,Primary,... if she argues with him,3,01/01/2017,2017,5.9
72,Albania,Education,5,Secondary,... if she argues with him,3,01/01/2017,2017,3.2
142,Albania,Education,5,Higher,... if she goes out without telling him,5,01/01/2017,2017,2.7
142,Albania,Education,5,No education,... if she goes out without telling him,5,01/01/2017,2017,25.4
142,Albania,Education,5,Primary,... if she goes out without telling him,5,01/01/2017,2017,9
142,Albania,Education,5,Secondary,... if she goes out without telling him,5,01/01/2017,2017,5.9
212,Albania,Education,5,Higher,... if she neglects the children,4,01/01/2017,2017,3.8
212,Albania,Education,5,No education,... if she neglects the children,4,01/01/2017,2017,22.3
212,Albania,Education,5,Primary,... if she neglects the children,4,01/01/2017,2017,9.6
212,Albania,Education,5,Secondary,... if she neglects the children,4,01/01/2017,2017,8.4
282,Albania,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2017,2017,0.7
282,Albania,Education,5,No education,... if she refuses to have sex with him,6,01/01/2017,2017,13.8
282,Albania,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2017,2017,3.1
282,Albania,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2017,2017,1.7
352,Albania,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2017,2017,10.8
352,Albania,Employment,3,Employed for kind,... for at least one specific reason,2,01/01/2017,2017,9.6
352,Albania,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2017,2017,12.4
72,Albania,Employment,3,Employed for cash,... if she argues with him,3,01/01/2017,2017,3.4
72,Albania,Employment,3,Employed for kind,... if she argues with him,3,01/01/2017,2017,3.6
72,Albania,Employment,3,Unemployed,... if she argues with him,3,01/01/2017,2017,5
142,Albania,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2017,2017,7.2
142,Albania,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2017,2017,6.2
142,Albania,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2017,2017,5.6
212,Albania,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2017,2017,7.5
212,Albania,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2017,2017,5.5
212,Albania,Employment,3,Unemployed,... if she neglects the children,4,01/01/2017,2017,9.1
282,Albania,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2017,2017,1.3
282,Albania,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2017,2017,0.9
282,Albania,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2017,2017,3.5
352,Albania,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2017,2017,11.7
352,Albania,Marital status,1,Never married,... for at least one specific reason,2,01/01/2017,2017,10.6
352,Albania,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2017,2017,29.7
72,Albania,Marital status,1,Married or living together,... if she argues with him,3,01/01/2017,2017,4.1
72,Albania,Marital status,1,Never married,... if she argues with him,3,01/01/2017,2017,3.8
72,Albania,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2017,2017,13.1
142,Albania,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2017,2017,7.7
142,Albania,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2017,2017,5.1
142,Albania,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2017,2017,16.7
212,Albania,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2017,2017,8.5
212,Albania,Marital status,1,Never married,... if she neglects the children,4,01/01/2017,2017,7.2
212,Albania,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2017,2017,24.5
282,Albania,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2017,2017,1.3
282,Albania,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2017,2017,2.8
282,Albania,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2017,2017,4.6
352,Albania,Residence,5,Rural,... for at least one specific reason,2,01/01/2017,2017,12.9
352,Albania,Residence,5,Urban,... for at least one specific reason,2,01/01/2017,2017,10.2
72,Albania,Residence,5,Rural,... if she argues with him,3,01/01/2017,2017,3.2
72,Albania,Residence,5,Urban,... if she argues with him,3,01/01/2017,2017,4.7
142,Albania,Residence,5,Rural,... if she goes out without telling him,5,01/01/2017,2017,7.4
142,Albania,Residence,5,Urban,... if she goes out without telling him,5,01/01/2017,2017,5.9
212,Albania,Residence,5,Rural,... if she neglects the children,4,01/01/2017,2017,8.9
212,Albania,Residence,5,Urban,... if she neglects the children,4,01/01/2017,2017,7.4
282,Albania,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2017,2017,2.2
282,Albania,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2017,2017,2
3,Angola,Education,5,Higher,... if she burns the food,1,01/01/2015,2015,0.7
3,Angola,Age,4,35-49,... if she burns the food,1,01/01/2015,2015,3.7
3,Angola,Marital status,1,Married or living together,... if she burns the food,1,01/01/2015,2015,4.4
3,Angola,Residence,5,Urban,... if she burns the food,1,01/01/2015,2015,4.9
3,Angola,Education,5,Secondary,... if she burns the food,1,01/01/2015,2015,5
3,Angola,Age,4,25-34,... if she burns the food,1,01/01/2015,2015,5.3
3,Angola,Employment,3,Employed for cash,... if she burns the food,1,01/01/2015,2015,5.5
3,Angola,Employment,3,Unemployed,... if she burns the food,1,01/01/2015,2015,6.1
3,Angola,Marital status,1,Never married,... if she burns the food,1,01/01/2015,2015,7.3
3,Angola,Age,4,15-24,... if she burns the food,1,01/01/2015,2015,7.7
3,Angola,Employment,3,Employed for kind,... if she burns the food,1,01/01/2015,2015,7.9
3,Angola,Education,5,Primary,... if she burns the food,1,01/01/2015,2015,8.1
3,Angola,Residence,5,Rural,... if she burns the food,1,01/01/2015,2015,8.9
3,Angola,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2015,2015,9.3
3,Angola,Education,5,No education,... if she burns the food,1,01/01/2015,2015,10.8
353,Angola,Age,4,15-24,... for at least one specific reason,2,01/01/2015,2015,23.4
353,Angola,Age,4,25-34,... for at least one specific reason,2,01/01/2015,2015,18.5
353,Angola,Age,4,35-49,... for at least one specific reason,2,01/01/2015,2015,15.7
73,Angola,Age,4,15-24,... if she argues with him,3,01/01/2015,2015,12.6
73,Angola,Age,4,25-34,... if she argues with him,3,01/01/2015,2015,10.6
73,Angola,Age,4,35-49,... if she argues with him,3,01/01/2015,2015,7.7
143,Angola,Age,4,15-24,... if she goes out without telling him,5,01/01/2015,2015,8.9
143,Angola,Age,4,25-34,... if she goes out without telling him,5,01/01/2015,2015,8.1
143,Angola,Age,4,35-49,... if she goes out without telling him,5,01/01/2015,2015,7
213,Angola,Age,4,15-24,... if she neglects the children,4,01/01/2015,2015,13.5
213,Angola,Age,4,25-34,... if she neglects the children,4,01/01/2015,2015,10.7
213,Angola,Age,4,35-49,... if she neglects the children,4,01/01/2015,2015,9.3
283,Angola,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2015,2015,6.3
283,Angola,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2015,2015,5.5
283,Angola,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2015,2015,4.4
353,Angola,Education,5,Higher,... for at least one specific reason,2,01/01/2015,2015,3.9
353,Angola,Education,5,No education,... for at least one specific reason,2,01/01/2015,2015,26.7
353,Angola,Education,5,Primary,... for at least one specific reason,2,01/01/2015,2015,26.2
353,Angola,Education,5,Secondary,... for at least one specific reason,2,01/01/2015,2015,18.1
73,Angola,Education,5,Higher,... if she argues with him,3,01/01/2015,2015,1.6
73,Angola,Education,5,No education,... if she argues with him,3,01/01/2015,2015,15.9
73,Angola,Education,5,Primary,... if she argues with him,3,01/01/2015,2015,14.9
73,Angola,Education,5,Secondary,... if she argues with him,3,01/01/2015,2015,9.2
143,Angola,Education,5,Higher,... if she goes out without telling him,5,01/01/2015,2015,1.6
143,Angola,Education,5,No education,... if she goes out without telling him,5,01/01/2015,2015,13.4
143,Angola,Education,5,Primary,... if she goes out without telling him,5,01/01/2015,2015,11.2
143,Angola,Education,5,Secondary,... if she goes out without telling him,5,01/01/2015,2015,6.8
213,Angola,Education,5,Higher,... if she neglects the children,4,01/01/2015,2015,1.8
213,Angola,Education,5,No education,... if she neglects the children,4,01/01/2015,2015,18.3
213,Angola,Education,5,Primary,... if she neglects the children,4,01/01/2015,2015,17.1
213,Angola,Education,5,Secondary,... if she neglects the children,4,01/01/2015,2015,9.1
283,Angola,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2015,2015,0.6
283,Angola,Education,5,No education,... if she refuses to have sex with him,6,01/01/2015,2015,11.2
283,Angola,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2015,2015,7.6
283,Angola,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2015,2015,4.4
353,Angola,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2015,2015,19.7
353,Angola,Employment,3,Employed for kind,... for at least one specific reason,2,01/01/2015,2015,23.6
353,Angola,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2015,2015,19
73,Angola,Employment,3,Employed for cash,... if she argues with him,3,01/01/2015,2015,10.9
73,Angola,Employment,3,Employed for kind,... if she argues with him,3,01/01/2015,2015,13.3
73,Angola,Employment,3,Unemployed,... if she argues with him,3,01/01/2015,2015,9.5
143,Angola,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2015,2015,8.2
143,Angola,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2015,2015,9.2
143,Angola,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2015,2015,7.7
213,Angola,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2015,2015,11.3
213,Angola,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2015,2015,13.8
213,Angola,Employment,3,Unemployed,... if she neglects the children,4,01/01/2015,2015,11.1
283,Angola,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2015,2015,5.2
283,Angola,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2015,2015,7.3
283,Angola,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2015,2015,5.4
353,Angola,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2015,2015,19.1
353,Angola,Marital status,1,Never married,... for at least one specific reason,2,01/01/2015,2015,20.6
353,Angola,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2015,2015,25.1
73,Angola,Marital status,1,Married or living together,... if she argues with him,3,01/01/2015,2015,10.5
73,Angola,Marital status,1,Never married,... if she argues with him,3,01/01/2015,2015,10.6
73,Angola,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2015,2015,17.4
143,Angola,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2015,2015,8.1
143,Angola,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2015,2015,8
143,Angola,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2015,2015,12.8
213,Angola,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2015,2015,11.7
213,Angola,Marital status,1,Never married,... if she neglects the children,4,01/01/2015,2015,11.2
213,Angola,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2015,2015,16.7
283,Angola,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2015,2015,5.1
283,Angola,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2015,2015,5.8
283,Angola,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2015,2015,9.8
353,Angola,Residence,5,Rural,... for at least one specific reason,2,01/01/2015,2015,26.7
353,Angola,Residence,5,Urban,... for at least one specific reason,2,01/01/2015,2015,17.5
73,Angola,Residence,5,Rural,... if she argues with him,3,01/01/2015,2015,15.7
73,Angola,Residence,5,Urban,... if she argues with him,3,01/01/2015,2015,8.9
143,Angola,Residence,5,Rural,... if she goes out without telling him,5,01/01/2015,2015,11.2
143,Angola,Residence,5,Urban,... if she goes out without telling him,5,01/01/2015,2015,7.1
213,Angola,Residence,5,Rural,... if she neglects the children,4,01/01/2015,2015,18
213,Angola,Residence,5,Urban,... if she neglects the children,4,01/01/2015,2015,9.2
283,Angola,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2015,2015,9.3
283,Angola,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2015,2015,4.1
4,Armenia,Education,5,No education,... if she burns the food,1,01/01/2015,2015,
4,Armenia,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2015,2015,0
4,Armenia,Marital status,1,Married or living together,... if she burns the food,1,01/01/2015,2015,0.4
4,Armenia,Education,5,Higher,... if she burns the food,1,01/01/2015,2015,0.6
4,Armenia,Education,5,Secondary,... if she burns the food,1,01/01/2015,2015,0.6
4,Armenia,Employment,3,Employed for cash,... if she burns the food,1,01/01/2015,2015,0.6
4,Armenia,Age,4,15-24,... if she burns the food,1,01/01/2015,2015,0.7
4,Armenia,Age,4,25-34,... if she burns the food,1,01/01/2015,2015,0.7
4,Armenia,Age,4,35-49,... if she burns the food,1,01/01/2015,2015,0.7
4,Armenia,Employment,3,Unemployed,... if she burns the food,1,01/01/2015,2015,0.7
4,Armenia,Residence,5,Rural,... if she burns the food,1,01/01/2015,2015,0.7
4,Armenia,Residence,5,Urban,... if she burns the food,1,01/01/2015,2015,0.7
4,Armenia,Education,5,Primary,... if she burns the food,1,01/01/2015,2015,1
4,Armenia,Employment,3,Employed for kind,... if she burns the food,1,01/01/2015,2015,1
4,Armenia,Marital status,1,Never married,... if she burns the food,1,01/01/2015,2015,1
354,Armenia,Age,4,15-24,... for at least one specific reason,2,01/01/2015,2015,24.3
354,Armenia,Age,4,25-34,... for at least one specific reason,2,01/01/2015,2015,23
354,Armenia,Age,4,35-49,... for at least one specific reason,2,01/01/2015,2015,20.9
74,Armenia,Age,4,15-24,... if she argues with him,3,01/01/2015,2015,15.6
74,Armenia,Age,4,25-34,... if she argues with him,3,01/01/2015,2015,16.8
74,Armenia,Age,4,35-49,... if she argues with him,3,01/01/2015,2015,15.9
144,Armenia,Age,4,15-24,... if she goes out without telling him,5,01/01/2015,2015,13.8
144,Armenia,Age,4,25-34,... if she goes out without telling him,5,01/01/2015,2015,10.5
144,Armenia,Age,4,35-49,... if she goes out without telling him,5,01/01/2015,2015,11.1
214,Armenia,Age,4,15-24,... if she neglects the children,4,01/01/2015,2015,18.9
214,Armenia,Age,4,25-34,... if she neglects the children,4,01/01/2015,2015,16.6
214,Armenia,Age,4,35-49,... if she neglects the children,4,01/01/2015,2015,16.4
284,Armenia,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2015,2015,1
284,Armenia,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2015,2015,1.4
284,Armenia,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2015,2015,2.3
354,Armenia,Education,5,Higher,... for at least one specific reason,2,01/01/2015,2015,14.4
354,Armenia,Education,5,No education,... for at least one specific reason,2,01/01/2015,2015,
354,Armenia,Education,5,Primary,... for at least one specific reason,2,01/01/2015,2015,30.3
354,Armenia,Education,5,Secondary,... for at least one specific reason,2,01/01/2015,2015,27.9
74,Armenia,Education,5,Higher,... if she argues with him,3,01/01/2015,2015,9.9
74,Armenia,Education,5,No education,... if she argues with him,3,01/01/2015,2015,
74,Armenia,Education,5,Primary,... if she argues with him,3,01/01/2015,2015,22
74,Armenia,Education,5,Secondary,... if she argues with him,3,01/01/2015,2015,20.2
144,Armenia,Education,5,Higher,... if she goes out without telling him,5,01/01/2015,2015,6.1
144,Armenia,Education,5,No education,... if she goes out without telling him,5,01/01/2015,2015,
144,Armenia,Education,5,Primary,... if she goes out without telling him,5,01/01/2015,2015,13.6
144,Armenia,Education,5,Secondary,... if she goes out without telling him,5,01/01/2015,2015,16.3
214,Armenia,Education,5,Higher,... if she neglects the children,4,01/01/2015,2015,10.9
214,Armenia,Education,5,No education,... if she neglects the children,4,01/01/2015,2015,
214,Armenia,Education,5,Primary,... if she neglects the children,4,01/01/2015,2015,17.8
214,Armenia,Education,5,Secondary,... if she neglects the children,4,01/01/2015,2015,22.8
284,Armenia,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2015,2015,0.8
284,Armenia,Education,5,No education,... if she refuses to have sex with him,6,01/01/2015,2015,
284,Armenia,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2015,2015,2.4
284,Armenia,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2015,2015,2.2
354,Armenia,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2015,2015,22.2
