Country,Gender,Demographics Question,Demographics Questions code,Demographics Response,Question,Question-cod,Survey Year,year,Value
Afghanistan,M,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2015,2015,67.4
Afghanistan,M,Employment,3,Employed for cash,... if she argues with him,3,01/01/2015,2015,45.5
Afghanistan,M,Employment,3,Employed for kind,... if she argues with him,3,01/01/2015,2015,47.8
Afghanistan,M,Employment,3,Unemployed,... if she argues with him,3,01/01/2015,2015,41.1
Afghanistan,M,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2015,2015,60.9
Afghanistan,M,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2015,2015,65.7
Afghanistan,M,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2015,2015,54.8
Afghanistan,M,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2015,2015,25.6
Afghanistan,M,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2015,2015,30.6
Afghanistan,M,Employment,3,Unemployed,... if she neglects the children,4,01/01/2015,2015,31.8
Afghanistan,M,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2015,2015,18.9
Afghanistan,M,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2015,2015,27.8
Afghanistan,M,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2015,2015,17
Afghanistan,M,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2015,2015,72.6
Afghanistan,M,Marital status,1,Never married,... for at least one specific reason,2,01/01/2015,2015,
Afghanistan,M,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2015,2015,48.8
Afghanistan,M,Marital status,1,Married or living together,... if she argues with him,3,01/01/2015,2015,45.5
Afghanistan,M,Marital status,1,Never married,... if she argues with him,3,01/01/2015,2015,
Afghanistan,M,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2015,2015,35.1
Afghanistan,M,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2015,2015,61.3
Afghanistan,M,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2015,2015,
Afghanistan,M,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2015,2015,36.5
Afghanistan,M,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2015,2015,26.1
Afghanistan,M,Marital status,1,Never married,... if she neglects the children,4,01/01/2015,2015,
Afghanistan,M,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2015,2015,29.3
Afghanistan,M,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2015,2015,19.7
Afghanistan,M,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2015,2015,
Afghanistan,M,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2015,2015,5
Afghanistan,M,Residence,5,Rural,... for at least one specific reason,2,01/01/2015,2015,76.1
Afghanistan,M,Residence,5,Urban,... for at least one specific reason,2,01/01/2015,2015,59.9
Afghanistan,M,Residence,5,Rural,... if she argues with him,3,01/01/2015,2015,47
Afghanistan,M,Residence,5,Urban,... if she argues with him,3,01/01/2015,2015,40.4
Afghanistan,M,Residence,5,Rural,... if she goes out without telling him,5,01/01/2015,2015,65.6
Afghanistan,M,Residence,5,Urban,... if she goes out without telling him,5,01/01/2015,2015,46
Afghanistan,M,Residence,5,Rural,... if she neglects the children,4,01/01/2015,2015,28.1
Afghanistan,M,Residence,5,Urban,... if she neglects the children,4,01/01/2015,2015,19.6
Afghanistan,M,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2015,2015,21.9
Afghanistan,M,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2015,2015,12
Albania,M,Education,5,No education,... if she burns the food,1,01/01/2017,2017,0
Albania,M,Age,4,25-34,... if she burns the food,1,01/01/2017,2017,0.2
Albania,M,Education,5,Secondary,... if she burns the food,1,01/01/2017,2017,0.2
Albania,M,Employment,3,Employed for cash,... if she burns the food,1,01/01/2017,2017,0.3
Albania,M,Age,4,35-49,... if she burns the food,1,01/01/2017,2017,0.4
Albania,M,Marital status,1,Never married,... if she burns the food,1,01/01/2017,2017,0.4
Albania,M,Employment,3,Employed for kind,... if she burns the food,1,01/01/2017,2017,0.5
Albania,M,Residence,5,Rural,... if she burns the food,1,01/01/2017,2017,0.5
Albania,M,Residence,5,Urban,... if she burns the food,1,01/01/2017,2017,0.5
Albania,M,Marital status,1,Married or living together,... if she burns the food,1,01/01/2017,2017,0.6
Albania,M,Education,5,Higher,... if she burns the food,1,01/01/2017,2017,0.8
Albania,M,Education,5,Primary,... if she burns the food,1,01/01/2017,2017,0.8
Albania,M,Employment,3,Unemployed,... if she burns the food,1,01/01/2017,2017,0.8
Albania,M,Age,4,15-24,... if she burns the food,1,01/01/2017,2017,0.9
Albania,M,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2017,2017,1.6
Albania,M,Age,4,15-24,... for at least one specific reason,2,01/01/2017,2017,10.9
Albania,M,Age,4,25-34,... for at least one specific reason,2,01/01/2017,2017,11.3
Albania,M,Age,4,35-49,... for at least one specific reason,2,01/01/2017,2017,11.8
Albania,M,Age,4,15-24,... if she argues with him,3,01/01/2017,2017,4.4
Albania,M,Age,4,25-34,... if she argues with him,3,01/01/2017,2017,3.5
Albania,M,Age,4,35-49,... if she argues with him,3,01/01/2017,2017,4.2
Albania,M,Age,4,15-24,... if she goes out without telling him,5,01/01/2017,2017,5.3
Albania,M,Age,4,25-34,... if she goes out without telling him,5,01/01/2017,2017,6.1
Albania,M,Age,4,35-49,... if she goes out without telling him,5,01/01/2017,2017,7.8
Albania,M,Age,4,15-24,... if she neglects the children,4,01/01/2017,2017,7.1
Albania,M,Age,4,25-34,... if she neglects the children,4,01/01/2017,2017,8.6
Albania,M,Age,4,35-49,... if she neglects the children,4,01/01/2017,2017,8.3
Albania,M,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2017,2017,3
Albania,M,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2017,2017,2.5
Albania,M,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2017,2017,1.1
Albania,M,Education,5,Higher,... for at least one specific reason,2,01/01/2017,2017,5.4
Albania,M,Education,5,No education,... for at least one specific reason,2,01/01/2017,2017,26.6
Albania,M,Education,5,Primary,... for at least one specific reason,2,01/01/2017,2017,14.6
Albania,M,Education,5,Secondary,... for at least one specific reason,2,01/01/2017,2017,11.2
Albania,M,Education,5,Higher,... if she argues with him,3,01/01/2017,2017,2.2
Albania,M,Education,5,No education,... if she argues with him,3,01/01/2017,2017,15.3
Albania,M,Education,5,Primary,... if she argues with him,3,01/01/2017,2017,5.9
Albania,M,Education,5,Secondary,... if she argues with him,3,01/01/2017,2017,3.2
Albania,M,Education,5,Higher,... if she goes out without telling him,5,01/01/2017,2017,2.7
Albania,M,Education,5,No education,... if she goes out without telling him,5,01/01/2017,2017,25.4
Albania,M,Education,5,Primary,... if she goes out without telling him,5,01/01/2017,2017,9
Albania,M,Education,5,Secondary,... if she goes out without telling him,5,01/01/2017,2017,5.9
Albania,M,Education,5,Higher,... if she neglects the children,4,01/01/2017,2017,3.8
Albania,M,Education,5,No education,... if she neglects the children,4,01/01/2017,2017,22.3
Albania,M,Education,5,Primary,... if she neglects the children,4,01/01/2017,2017,9.6
Albania,M,Education,5,Secondary,... if she neglects the children,4,01/01/2017,2017,8.4
Albania,M,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2017,2017,0.7
Albania,M,Education,5,No education,... if she refuses to have sex with him,6,01/01/2017,2017,13.8
Albania,M,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2017,2017,3.1
Albania,M,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2017,2017,1.7
Albania,M,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2017,2017,10.8
Albania,M,Employment,3,Employed for kind,... for at least one specific reason,2,01/01/2017,2017,9.6
Albania,M,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2017,2017,12.4
Albania,M,Employment,3,Employed for cash,... if she argues with him,3,01/01/2017,2017,3.4
Albania,M,Employment,3,Employed for kind,... if she argues with him,3,01/01/2017,2017,3.6
Albania,M,Employment,3,Unemployed,... if she argues with him,3,01/01/2017,2017,5
Albania,M,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2017,2017,7.2
Albania,M,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2017,2017,6.2
Albania,M,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2017,2017,5.6
Albania,M,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2017,2017,7.5
Albania,M,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2017,2017,5.5
Albania,M,Employment,3,Unemployed,... if she neglects the children,4,01/01/2017,2017,9.1
Albania,M,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2017,2017,1.3
Albania,M,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2017,2017,0.9
Albania,M,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2017,2017,3.5
Albania,M,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2017,2017,11.7
Albania,M,Marital status,1,Never married,... for at least one specific reason,2,01/01/2017,2017,10.6
Albania,M,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2017,2017,29.7
Albania,M,Marital status,1,Married or living together,... if she argues with him,3,01/01/2017,2017,4.1
Albania,M,Marital status,1,Never married,... if she argues with him,3,01/01/2017,2017,3.8
Albania,M,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2017,2017,13.1
Albania,M,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2017,2017,7.7
Albania,M,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2017,2017,5.1
Albania,M,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2017,2017,16.7
Albania,M,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2017,2017,8.5
Albania,M,Marital status,1,Never married,... if she neglects the children,4,01/01/2017,2017,7.2
Albania,M,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2017,2017,24.5
Albania,M,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2017,2017,1.3
Albania,M,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2017,2017,2.8
Albania,M,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2017,2017,4.6
Albania,M,Residence,5,Rural,... for at least one specific reason,2,01/01/2017,2017,12.9
Albania,M,Residence,5,Urban,... for at least one specific reason,2,01/01/2017,2017,10.2
Albania,M,Residence,5,Rural,... if she argues with him,3,01/01/2017,2017,3.2
Albania,M,Residence,5,Urban,... if she argues with him,3,01/01/2017,2017,4.7
Albania,M,Residence,5,Rural,... if she goes out without telling him,5,01/01/2017,2017,7.4
Albania,M,Residence,5,Urban,... if she goes out without telling him,5,01/01/2017,2017,5.9
Albania,M,Residence,5,Rural,... if she neglects the children,4,01/01/2017,2017,8.9
Albania,M,Residence,5,Urban,... if she neglects the children,4,01/01/2017,2017,7.4
Albania,M,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2017,2017,2.2
Albania,M,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2017,2017,2
Angola,M,Education,5,Higher,... if she burns the food,1,01/01/2015,2015,0.7
Angola,M,Age,4,35-49,... if she burns the food,1,01/01/2015,2015,3.7
Angola,M,Marital status,1,Married or living together,... if she burns the food,1,01/01/2015,2015,4.4
Angola,M,Residence,5,Urban,... if she burns the food,1,01/01/2015,2015,4.9
Angola,M,Education,5,Secondary,... if she burns the food,1,01/01/2015,2015,5
Angola,M,Age,4,25-34,... if she burns the food,1,01/01/2015,2015,5.3
Angola,M,Employment,3,Employed for cash,... if she burns the food,1,01/01/2015,2015,5.5
Angola,M,Employment,3,Unemployed,... if she burns the food,1,01/01/2015,2015,6.1
Angola,M,Marital status,1,Never married,... if she burns the food,1,01/01/2015,2015,7.3
Angola,M,Age,4,15-24,... if she burns the food,1,01/01/2015,2015,7.7
Angola,M,Employment,3,Employed for kind,... if she burns the food,1,01/01/2015,2015,7.9
Angola,M,Education,5,Primary,... if she burns the food,1,01/01/2015,2015,8.1
Angola,M,Residence,5,Rural,... if she burns the food,1,01/01/2015,2015,8.9
Angola,M,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2015,2015,9.3
Angola,M,Education,5,No education,... if she burns the food,1,01/01/2015,2015,10.8
Angola,M,Age,4,15-24,... for at least one specific reason,2,01/01/2015,2015,23.4
Angola,M,Age,4,25-34,... for at least one specific reason,2,01/01/2015,2015,18.5
Angola,M,Age,4,35-49,... for at least one specific reason,2,01/01/2015,2015,15.7
Angola,M,Age,4,15-24,... if she argues with him,3,01/01/2015,2015,12.6
Angola,M,Age,4,25-34,... if she argues with him,3,01/01/2015,2015,10.6
Angola,M,Age,4,35-49,... if she argues with him,3,01/01/2015,2015,7.7
Angola,M,Age,4,15-24,... if she goes out without telling him,5,01/01/2015,2015,8.9
Angola,M,Age,4,25-34,... if she goes out without telling him,5,01/01/2015,2015,8.1
Angola,M,Age,4,35-49,... if she goes out without telling him,5,01/01/2015,2015,7
Angola,M,Age,4,15-24,... if she neglects the children,4,01/01/2015,2015,13.5
Angola,M,Age,4,25-34,... if she neglects the children,4,01/01/2015,2015,10.7
Angola,M,Age,4,35-49,... if she neglects the children,4,01/01/2015,2015,9.3
Angola,M,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2015,2015,6.3
Angola,M,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2015,2015,5.5
Angola,M,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2015,2015,4.4
Angola,M,Education,5,Higher,... for at least one specific reason,2,01/01/2015,2015,3.9
Angola,M,Education,5,No education,... for at least one specific reason,2,01/01/2015,2015,26.7
Angola,M,Education,5,Primary,... for at least one specific reason,2,01/01/2015,2015,26.2
Angola,M,Education,5,Secondary,... for at least one specific reason,2,01/01/2015,2015,18.1
Angola,M,Education,5,Higher,... if she argues with him,3,01/01/2015,2015,1.6
Angola,M,Education,5,No education,... if she argues with him,3,01/01/2015,2015,15.9
Angola,M,Education,5,Primary,... if she argues with him,3,01/01/2015,2015,14.9
Angola,M,Education,5,Secondary,... if she argues with him,3,01/01/2015,2015,9.2
Angola,M,Education,5,Higher,... if she goes out without telling him,5,01/01/2015,2015,1.6
Angola,M,Education,5,No education,... if she goes out without telling him,5,01/01/2015,2015,13.4
Angola,M,Education,5,Primary,... if she goes out without telling him,5,01/01/2015,2015,11.2
Angola,M,Education,5,Secondary,... if she goes out without telling him,5,01/01/2015,2015,6.8
Angola,M,Education,5,Higher,... if she neglects the children,4,01/01/2015,2015,1.8
Angola,M,Education,5,No education,... if she neglects the children,4,01/01/2015,2015,18.3
Angola,M,Education,5,Primary,... if she neglects the children,4,01/01/2015,2015,17.1
Angola,M,Education,5,Secondary,... if she neglects the children,4,01/01/2015,2015,9.1
Angola,M,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2015,2015,0.6
Angola,M,Education,5,No education,... if she refuses to have sex with him,6,01/01/2015,2015,11.2
Angola,M,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2015,2015,7.6
Angola,M,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2015,2015,4.4
Angola,M,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2015,2015,19.7
Angola,M,Employment,3,Employed for kind,... for at least one specific reason,2,01/01/2015,2015,23.6
Angola,M,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2015,2015,19
Angola,M,Employment,3,Employed for cash,... if she argues with him,3,01/01/2015,2015,10.9
Angola,M,Employment,3,Employed for kind,... if she argues with him,3,01/01/2015,2015,13.3
Angola,M,Employment,3,Unemployed,... if she argues with him,3,01/01/2015,2015,9.5
Angola,M,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2015,2015,8.2
Angola,M,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2015,2015,9.2
Angola,M,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2015,2015,7.7
Angola,M,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2015,2015,11.3
Angola,M,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2015,2015,13.8
Angola,M,Employment,3,Unemployed,... if she neglects the children,4,01/01/2015,2015,11.1
Angola,M,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2015,2015,5.2
Angola,M,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2015,2015,7.3
Angola,M,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2015,2015,5.4
Angola,M,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2015,2015,19.1
Angola,M,Marital status,1,Never married,... for at least one specific reason,2,01/01/2015,2015,20.6
Angola,M,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2015,2015,25.1
Angola,M,Marital status,1,Married or living together,... if she argues with him,3,01/01/2015,2015,10.5
Angola,M,Marital status,1,Never married,... if she argues with him,3,01/01/2015,2015,10.6
Angola,M,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2015,2015,17.4
Angola,M,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2015,2015,8.1
Angola,M,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2015,2015,8
Angola,M,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2015,2015,12.8
Angola,M,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2015,2015,11.7
Angola,M,Marital status,1,Never married,... if she neglects the children,4,01/01/2015,2015,11.2
Angola,M,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2015,2015,16.7
Angola,M,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2015,2015,5.1
Angola,M,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2015,2015,5.8
Angola,M,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2015,2015,9.8
Angola,M,Residence,5,Rural,... for at least one specific reason,2,01/01/2015,2015,26.7
Angola,M,Residence,5,Urban,... for at least one specific reason,2,01/01/2015,2015,17.5
Angola,M,Residence,5,Rural,... if she argues with him,3,01/01/2015,2015,15.7
Angola,M,Residence,5,Urban,... if she argues with him,3,01/01/2015,2015,8.9
Angola,M,Residence,5,Rural,... if she goes out without telling him,5,01/01/2015,2015,11.2
Angola,M,Residence,5,Urban,... if she goes out without telling him,5,01/01/2015,2015,7.1
Angola,M,Residence,5,Rural,... if she neglects the children,4,01/01/2015,2015,18
Angola,M,Residence,5,Urban,... if she neglects the children,4,01/01/2015,2015,9.2
Angola,M,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2015,2015,9.3
Angola,M,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2015,2015,4.1
Armenia,M,Education,5,No education,... if she burns the food,1,01/01/2015,2015,
Armenia,M,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2015,2015,0
Armenia,M,Marital status,1,Married or living together,... if she burns the food,1,01/01/2015,2015,0.4
Armenia,M,Education,5,Higher,... if she burns the food,1,01/01/2015,2015,0.6
Armenia,M,Education,5,Secondary,... if she burns the food,1,01/01/2015,2015,0.6
Armenia,M,Employment,3,Employed for cash,... if she burns the food,1,01/01/2015,2015,0.6
Armenia,M,Age,4,15-24,... if she burns the food,1,01/01/2015,2015,0.7
Armenia,M,Age,4,25-34,... if she burns the food,1,01/01/2015,2015,0.7
Armenia,M,Age,4,35-49,... if she burns the food,1,01/01/2015,2015,0.7
Armenia,M,Employment,3,Unemployed,... if she burns the food,1,01/01/2015,2015,0.7
Armenia,M,Residence,5,Rural,... if she burns the food,1,01/01/2015,2015,0.7
Armenia,M,Residence,5,Urban,... if she burns the food,1,01/01/2015,2015,0.7
Armenia,M,Education,5,Primary,... if she burns the food,1,01/01/2015,2015,1
Armenia,M,Employment,3,Employed for kind,... if she burns the food,1,01/01/2015,2015,1
Armenia,M,Marital status,1,Never married,... if she burns the food,1,01/01/2015,2015,1
Armenia,M,Age,4,15-24,... for at least one specific reason,2,01/01/2015,2015,24.3
Armenia,M,Age,4,25-34,... for at least one specific reason,2,01/01/2015,2015,23
Armenia,M,Age,4,35-49,... for at least one specific reason,2,01/01/2015,2015,20.9
Armenia,M,Age,4,15-24,... if she argues with him,3,01/01/2015,2015,15.6
Armenia,M,Age,4,25-34,... if she argues with him,3,01/01/2015,2015,16.8
Armenia,M,Age,4,35-49,... if she argues with him,3,01/01/2015,2015,15.9
Armenia,M,Age,4,15-24,... if she goes out without telling him,5,01/01/2015,2015,13.8
Armenia,M,Age,4,25-34,... if she goes out without telling him,5,01/01/2015,2015,10.5
Armenia,M,Age,4,35-49,... if she goes out without telling him,5,01/01/2015,2015,11.1
Armenia,M,Age,4,15-24,... if she neglects the children,4,01/01/2015,2015,18.9
Armenia,M,Age,4,25-34,... if she neglects the children,4,01/01/2015,2015,16.6
Armenia,M,Age,4,35-49,... if she neglects the children,4,01/01/2015,2015,16.4
Armenia,M,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2015,2015,1
Armenia,M,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2015,2015,1.4
Armenia,M,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2015,2015,2.3
Armenia,M,Education,5,Higher,... for at least one specific reason,2,01/01/2015,2015,14.4
Armenia,M,Education,5,No education,... for at least one specific reason,2,01/01/2015,2015,
Armenia,M,Education,5,Primary,... for at least one specific reason,2,01/01/2015,2015,30.3
Armenia,M,Education,5,Secondary,... for at least one specific reason,2,01/01/2015,2015,27.9
Armenia,M,Education,5,Higher,... if she argues with him,3,01/01/2015,2015,9.9
Armenia,M,Education,5,No education,... if she argues with him,3,01/01/2015,2015,
Armenia,M,Education,5,Primary,... if she argues with him,3,01/01/2015,2015,22
Armenia,M,Education,5,Secondary,... if she argues with him,3,01/01/2015,2015,20.2
Armenia,M,Education,5,Higher,... if she goes out without telling him,5,01/01/2015,2015,6.1
Armenia,M,Education,5,No education,... if she goes out without telling him,5,01/01/2015,2015,
Armenia,M,Education,5,Primary,... if she goes out without telling him,5,01/01/2015,2015,13.6
Armenia,M,Education,5,Secondary,... if she goes out without telling him,5,01/01/2015,2015,16.3
Armenia,M,Education,5,Higher,... if she neglects the children,4,01/01/2015,2015,10.9
Armenia,M,Education,5,No education,... if she neglects the children,4,01/01/2015,2015,
Armenia,M,Education,5,Primary,... if she neglects the children,4,01/01/2015,2015,17.8
Armenia,M,Education,5,Secondary,... if she neglects the children,4,01/01/2015,2015,22.8
Armenia,M,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2015,2015,0.8
Armenia,M,Education,5,No education,... if she refuses to have sex with him,6,01/01/2015,2015,
Armenia,M,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2015,2015,2.4
Armenia,M,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2015,2015,2.2
Armenia,M,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2015,2015,22.2
